Frame,Timestamp,Error,Steering,Latency_ms,FPS
1,1770971638.7128718,2,7.891705871249672,27.58,35.4
2,1770971638.8783321,2,0.8038732051849365,3.52,10.3
3,1770971638.8868282,2,0.8040435075759889,3.74,14.8
4,1770971638.898325,2,0.8042733716964722,3.34,18.7
5,1770971638.9035118,2,0.8043771791458131,3.58,22.8
6,1770971638.9142144,2,0.8045911550521851,3.58,26.1
7,1770971638.9299314,2,0.8049056053161622,3.39,28.5
8,1770971638.9456146,2,0.8052192640304566,3.04,30.7
9,1770971638.9609685,2,0.8055263280868531,3.35,32.6
10,1770971638.9767168,3,7.554752362130278,3.10,34.2
11,1770971638.9926884,3,1.2064779114723208,4.09,35.7
12,1770971639.0074122,3,1.2069197106361391,2.80,37.2
13,1770971639.023781,3,1.2074107623100283,3.12,38.3
14,1770971639.0404146,3,1.2079094672203066,3.81,39.4
15,1770971639.056079,3,1.2083797049522402,3.47,40.4
16,1770971639.0727794,3,1.2088807129859926,4.06,41.2
17,1770971639.0880187,3,1.2093376612663271,3.40,42.1
18,1770971639.103601,3,1.209805374145508,2.91,43.0
19,1770971639.1194553,3,1.2102809977531435,2.83,43.7
20,1770971639.1355898,3,1.2107650256156923,2.99,44.4
21,1770971639.1535451,3,1.2113033413887027,4.55,44.8
22,1770971639.1682472,3,1.2117446184158327,3.38,45.5
23,1770971639.1840804,3,1.2122195768356325,3.49,46.1
24,1770971639.191992,3,1.2124569201469424,3.59,47.3
25,1770971639.199855,3,1.2126928687095644,4.26,48.5
26,1770971639.2150486,3,1.2131486654281618,3.51,49.0
27,1770971639.230874,3,1.2136231875419619,4.13,49.4
28,1770971639.2459705,3,1.2140762877464297,3.40,49.9
29,1770971639.2631123,3,1.2145906066894534,4.55,50.1
30,1770971639.2773592,3,1.2150181150436403,2.81,50.6
31,1770971639.2932339,3,1.2154941964149477,3.63,50.9
32,1770971639.3091776,3,1.2159726452827455,3.48,51.2
33,1770971639.3252904,3,1.216455914974213,3.50,51.5
34,1770971639.34041,3,1.2169096088409426,2.73,51.8
35,1770971639.3573294,3,1.2174170613288882,3.57,52.0
36,1770971639.3733084,3,1.2178963828086855,3.60,52.3
37,1770971639.389275,2,-5.443247792459263,3.58,52.5
38,1770971639.4052444,2,0.8185350966453553,3.57,52.7
39,1770971639.4208796,2,0.8188478302955627,3.18,53.0
40,1770971639.4361608,2,0.81915344953537,3.48,53.2
41,1770971639.4521177,2,0.8194727110862733,3.26,53.4
42,1770971639.4679132,2,0.8197885155677795,3.24,53.6
43,1770971639.4840028,2,0.8201103138923646,3.31,53.8
44,1770971639.499833,2,0.820426962375641,3.51,54.0
45,1770971639.515496,2,0.8207399201393127,3.20,54.2
46,1770971639.5324235,2,0.8210786414146424,4.04,54.3
47,1770971639.5474412,2,0.8213790059089661,3.15,54.5
48,1770971639.5633757,2,0.8216978573799134,3.12,54.6
49,1770971639.578652,2,0.8220034098625184,3.35,54.8
50,1770971639.594731,2,0.822324812412262,3.45,54.9
51,1770971639.6109834,1,-5.729593254649765,3.56,55.1
52,1770971639.6173043,1,0.42255057096481324,4.07,55.8
53,1770971639.626277,1,0.42264034509658815,3.14,56.3
54,1770971639.6411462,1,0.4227890348434448,2.96,56.5
55,1770971639.6566215,1,0.4229437899589539,3.49,56.6
56,1770971639.6721196,1,0.42309878110885624,2.95,56.7
57,1770971639.6876986,2,7.242510150789721,2.51,56.8
58,1770971639.704368,2,0.8237437367439271,3.22,56.9
59,1770971639.7201347,2,0.824058907032013,2.90,57.0
60,1770971639.735971,2,0.8243757557868958,2.84,57.1
61,1770971639.753008,2,0.8247162652015686,3.83,57.1
62,1770971639.7684662,2,0.8250256991386414,3.22,57.2
63,1770971639.7841055,2,0.8253384423255921,2.96,57.3
